Date,Value
12 Aug 2026,38218
13 Aug 2026,36140
14 Aug 2026,36250
15 Aug 2026,30041
16 Aug 2026,25974
17 Aug 2026,50141
18 Aug 2026,26490
19 Aug 2026,29539
20 Aug 2026,30520
21 Aug 2026,31351
22 Aug 2026,29295
23 Aug 2026,31546
24 Aug 2026,43054
25 Aug 2026,44489
26 Aug 2026,52513
27 Aug 2026,58651
28 Aug 2026,61750
29 Aug 2026,68893
30 Aug 2026,80985
31 Aug 2026,84134
" 1 Sep 2026",93002
" 2 Sep 2026",96209
" 3 Sep 2026",101388
" 4 Sep 2026",115192
" 5 Sep 2026",111391
" 6 Sep 2026",109756
" 7 Sep 2026",100828
" 8 Sep 2026",97703
" 9 Sep 2026",90326
10 Sep 2026,88206
11 Sep 2026,88671
12 Sep 2026,48246
