Date,Value
12 Aug 2026,5197265
13 Aug 2026,714850
14 Aug 2026,337458
15 Aug 2026,589974
16 Aug 2026,597633
17 Aug 2026,887829
18 Aug 2026,336242
19 Aug 2026,287774
20 Aug 2026,291848
21 Aug 2026,333946
22 Aug 2026,292052
23 Aug 2026,267286
24 Aug 2026,268148
25 Aug 2026,313590
26 Aug 2026,335121
27 Aug 2026,311972
28 Aug 2026,402087
29 Aug 2026,383159
30 Aug 2026,434013
31 Aug 2026,417385
" 1 Sep 2026",363950
" 2 Sep 2026",386764
" 3 Sep 2026",382643
" 4 Sep 2026",380979
" 5 Sep 2026",407837
" 6 Sep 2026",416215
" 7 Sep 2026",459436
" 8 Sep 2026",487919
" 9 Sep 2026",437147
10 Sep 2026,448765
11 Sep 2026,472335
12 Sep 2026,106523
