Date,Value
12 Aug 2026,115
13 Aug 2026,120
14 Aug 2026,124
15 Aug 2026,112
16 Aug 2026,114
17 Aug 2026,118
18 Aug 2026,128
19 Aug 2026,129
20 Aug 2026,118
21 Aug 2026,128
22 Aug 2026,145
23 Aug 2026,126
24 Aug 2026,159
25 Aug 2026,125
26 Aug 2026,143
27 Aug 2026,124
28 Aug 2026,158
29 Aug 2026,147
30 Aug 2026,175
31 Aug 2026,191
" 1 Sep 2026",178
" 2 Sep 2026",210
" 3 Sep 2026",411
" 4 Sep 2026",356
" 5 Sep 2026",315
" 6 Sep 2026",308
" 7 Sep 2026",602
" 8 Sep 2026",611
" 9 Sep 2026",486
10 Sep 2026,449
11 Sep 2026,315
12 Sep 2026,212
