Date,Value
12 Aug 2026,9986
13 Aug 2026,8812
14 Aug 2026,8898
15 Aug 2026,7444
16 Aug 2026,7293
17 Aug 2026,29706
18 Aug 2026,6263
19 Aug 2026,7547
20 Aug 2026,7961
21 Aug 2026,8198
22 Aug 2026,7390
23 Aug 2026,9395
24 Aug 2026,12975
25 Aug 2026,13405
26 Aug 2026,14461
27 Aug 2026,15709
28 Aug 2026,15650
29 Aug 2026,16666
30 Aug 2026,18332
31 Aug 2026,18435
" 1 Sep 2026",20015
" 2 Sep 2026",18779
" 3 Sep 2026",19389
" 4 Sep 2026",24618
" 5 Sep 2026",21306
" 6 Sep 2026",18023
" 7 Sep 2026",17049
" 8 Sep 2026",15318
" 9 Sep 2026",13949
10 Sep 2026,13295
11 Sep 2026,12585
12 Sep 2026,3484
