Date,Value
12 Aug 2026,92516
13 Aug 2026,59188
14 Aug 2026,57245
15 Aug 2026,53192
16 Aug 2026,57273
17 Aug 2026,92279
18 Aug 2026,62927
19 Aug 2026,67882
20 Aug 2026,80328
21 Aug 2026,69487
22 Aug 2026,68357
23 Aug 2026,56379
24 Aug 2026,55174
25 Aug 2026,44962
26 Aug 2026,37012
27 Aug 2026,40097
28 Aug 2026,46579
29 Aug 2026,38883
30 Aug 2026,90886
31 Aug 2026,66722
" 1 Sep 2026",24190
" 2 Sep 2026",46120
" 3 Sep 2026",94857
" 4 Sep 2026",102866
" 5 Sep 2026",102866
" 6 Sep 2026",92726
" 7 Sep 2026",100068
" 8 Sep 2026",113646
" 9 Sep 2026",84077
10 Sep 2026,73214
11 Sep 2026,81371
12 Sep 2026,47615
