Date,Value
12 Aug 2026,12857
13 Aug 2026,9405
14 Aug 2026,14854
15 Aug 2026,9984
16 Aug 2026,10208
17 Aug 2026,12317
18 Aug 2026,10549
19 Aug 2026,11288
20 Aug 2026,7272
21 Aug 2026,7634
22 Aug 2026,7889
23 Aug 2026,9481
24 Aug 2026,6945
25 Aug 2026,2740
26 Aug 2026,2141
27 Aug 2026,3883
28 Aug 2026,11490
29 Aug 2026,19094
30 Aug 2026,37009
31 Aug 2026,34200
" 1 Sep 2026",14156
" 2 Sep 2026",18595
" 3 Sep 2026",29200
" 4 Sep 2026",15828
" 5 Sep 2026",28318
" 6 Sep 2026",12576
" 7 Sep 2026",21729
" 8 Sep 2026",20494
" 9 Sep 2026",24414
10 Sep 2026,8686
11 Sep 2026,4162
12 Sep 2026,5256
